seed	12026030	poultation_size	100	mean	-7.43406671639141e-09	sigma	40.0
evals	GriewankProblem vlaue
    1	16.489948068978052
 1000	5.420919423901729
 2000	2.296202257564790
 3000	1.298060406876501
 4000	1.068063871959130
 5000	1.026589420943376
 6000	0.856174025214656
 7000	0.565679216780610
 8000	0.176271312708524
 9000	0.092445464344851
10000	0.028571924836679
11000	0.010384769134511
12000	0.001882756557737
13000	0.001012992850780
14000	0.000220802460217
15000	0.000098307005583
16000	0.000036423883192
17000	0.000006974573099
18000	0.000002751238576
19000	0.000000934531250
20000	0.000000224099032
21000	0.000000055520474
22000	0.000000022208515
23000	0.000000007046392
24000	0.000000001301872
25000	0.000000000323380
26000	0.000000000104024
27000	0.000000000035962
28000	0.000000000014539
29000	0.000000000004434
30000	0.000000000001671
31000	0.000000000000322
32000	0.000000000000073
32800	0.000000000000032
last result:	(-4.479530204954136e-09,5.200852349477756e-09,-3.848820397053119e-08,-1.0773979903836829e-07,7.455281006792311e-08,3.835217179036243e-08,-1.9555551698401488e-07,-1.1591918088099541e-07,-1.5525394692473232e-07,1.1925639294393363e-07,-1.5290047808962759e-07,-2.283159632436566e-08,1.388929053589556e-07,-2.9246229181572466e-07,-6.756996622821221e-08,-1.1924053857504334e-08,-2.6866499017848798e-08,1.1480895506538675e-07,2.1129682596980292e-07,4.849948688711421e-08,-9.494959826745486e-09,-1.4800944097965147e-08,2.851725634536805e-07,3.6446377070309206e-08,-3.29011839398449e-07,-2.5363418038729867e-07,-4.602294929505368e-07,2.6872978088198957e-07,1.1121010982105378e-07,1.657169615651358e-07,1.0538904697100722e-07,-2.560223555403087e-08,-2.0861430940201753e-07,2.631610213210502e-07,-3.3329170639375754e-07,1.971860162340511e-07,8.65713716296223e-08,-1.3265832774191181e-08,1.5917624926031607e-07,3.560627881845634e-07)
